Source,Target,Type,Id,Label,timeset,Weight
Wedge,Tifa,Undirected,726,,,6
Wedge,Aerith,Undirected,727,,,3
Wedge,Marlene,Undirected,728,,,2
Tifa,President,Undirected,732,,,11
Tifa,Heidegger,Undirected,735,,,2
Tifa,Tseng,Undirected,736,,,6
Tifa,Jenova,Undirected,737,,,12
Tifa,Palmer,Undirected,738,,,3
Tifa,Scarlet,Undirected,739,,,22
Tifa,Hojo,Undirected,740,,,25
Tifa,Red,Undirected,741,,,183
Tifa,Elena,Undirected,744,,,3
Tifa,Bugenhagen,Undirected,746,,,8
Tifa,Shera,Undirected,749,,,3
Aerith,President,Undirected,753,,,11
Aerith,Heidegger,Undirected,756,,,2
Aerith,Jenova,Undirected,758,,,8
Aerith,Scarlet,Undirected,759,,,1
Aerith,Hojo,Undirected,760,,,38
Aerith,Red,Undirected,761,,,102
Aerith,Elena,Undirected,763,,,1
Aerith,Bugenhagen,Undirected,766,,,6
Aerith,Shera,Undirected,769,,,1
Yuffie,Marlene,Undirected,770,,,5
Yuffie,President,Undirected,771,,,2
Yuffie,Tseng,Undirected,774,,,1
Yuffie,Jenova,Undirected,775,,,5
Yuffie,Red,Undirected,777,,,131
Yuffie,Rude,Undirected,778,,,1
Yuffie,Elena,Undirected,779,,,1
Yuffie,Bugenhagen,Undirected,781,,,4
Yuffie,Shera,Undirected,784,,,3
Marlene,Red,Undirected,786,,,3
President,Sephiroth,Undirected,789,,,5
President,Heidegger,Undirected,791,,,13
President,Reeve,Undirected,792,,,14
President,Palmer,Undirected,794,,,5
President,Scarlet,Undirected,795,,,9
President,Hojo,Undirected,796,,,4
President,Red,Undirected,797,,,4
President,Rude,Undirected,798,,,1
President,Rufus,Undirected,799,,,25
President,Elena,Undirected,800,,,2
President,Cid,Undirected,801,,,3
President,Shera,Undirected,802,,,1
Sephiroth,Heidegger,Undirected,804,,,2
Sephiroth,Reeve,Undirected,805,,,2
Sephiroth,Palmer,Undirected,808,,,8
Sephiroth,Scarlet,Undirected,809,,,1
Sephiroth,Red,Undirected,811,,,28
Sephiroth,Rude,Undirected,812,,,3
Sephiroth,Elena,Undirected,814,,,11
Sephiroth,Bugenhagen,Undirected,817,,,2
Reno,Red,Undirected,822,,,1
Reno,Cid,Undirected,825,,,1
Heidegger,Reeve,Undirected,828,,,12
Heidegger,Scarlet,Undirected,829,,,10
Heidegger,Hojo,Undirected,830,,,1
Heidegger,Rufus,Undirected,831,,,42
Heidegger,Cait,Undirected,832,,,8
Heidegger,Vincent,Undirected,833,,,1
Reeve,Palmer,Undirected,834,,,2
Reeve,Scarlet,Undirected,835,,,9
Tseng,Cait,Undirected,841,,,3
Jenova,Red,Undirected,844,,,13
Jenova,Cait,Undirected,845,,,2
Jenova,Cid,Undirected,846,,,1
Palmer,Scarlet,Undirected,848,,,1
Palmer,Rufus,Undirected,849,,,1
Palmer,Cid,Undirected,850,,,21
Palmer,Vincent,Undirected,851,,,1
Scarlet,Hojo,Undirected,852,,,2
Scarlet,Rufus,Undirected,853,,,9
Scarlet,Cait,Undirected,854,,,8
Hojo,Red,Undirected,855,,,11
Hojo,Rufus,Undirected,856,,,13
Hojo,Elena,Undirected,857,,,1
Hojo,Cait,Undirected,858,,,2
Hojo,Cid,Undirected,859,,,3
Red,Rude,Undirected,861,,,2
Red,Rufus,Undirected,862,,,5
Red,Elena,Undirected,863,,,1
Red,Cait,Undirected,864,,,66
Red,Bugenhagen,Undirected,866,,,72
Red,Cid,Undirected,867,,,85
Red,Vincent,Undirected,868,,,25
Red,Shera,Undirected,869,,,1
Rude,Cait,Undirected,871,,,1
Rufus,Bugenhagen,Undirected,873,,,1
Rufus,Shera,Undirected,875,,,1
Cait,Bugenhagen,Undirected,877,,,6
Cait,Shera,Undirected,880,,,1
Bugenhagen,Cid,Undirected,883,,,3
Bugenhagen,Vincent,Undirected,884,,,1
Cid,Shera,Undirected,886,,,70
Cid,Lucrecia,Undirected,887,,,1
Vincent,Shera,Undirected,888,,,4
